angulo,aceleracion
0,-4934.802200544678
1,-4932.923329322642
2,-4927.288661392221
3,-4917.904031694499
4,-4904.779157580736
5,-4887.927627496096
6,-4867.3668851559505
7,-4843.118209233816
8,-4815.206688585377
9,-4783.661193038443
10,-4748.514339784001
11,-4709.802455408843
12,-4667.565533615491
13,-4621.847188680312
14,-4572.694604705872
15,-4520.158480728636
16,-4464.29297174809
17,-4405.1556257482835
18,-4342.807316787606
19,-4277.31217423735
20,-4208.737508254226
21,-4137.153731576534
22,-4062.6342777381124
23,-3985.2555157985
24,-3905.096661691895
25,-3822.239686301613
26,-3736.7692203706138
27,-3648.7724563625143
28,-3558.3390473911345
29,-3465.5610033401344
30,-3370.532584297691
31,-3273.3501914343447
32,-3174.112255455245
33,-3072.919122760874
34,-2969.872939453113
35,-2865.0775333260526
36,-2758.638293983363
37,-2650.662051226273
38,-2541.2569518582513
39,-2430.5323350543567
40,-2318.5986064449485
41,-2205.5671110649223
42,-2091.550005321003
43,-1976.660128130763
44,-1861.0108713879747
45,-1744.71604990972
46,-1627.889771021219
47,-1510.6463039347664
48,-1393.0999490793597
49,-1275.3649075376013
50,-1157.5551507463235
51,-1039.7842906169665
52,-922.1654502312305
53,-804.8111352667657
54,-687.8331063067063
55,-571.3422521858005
56,-455.4484645245103
57,-340.260513601036
58,-225.88592570950124
59,-112.43086215073448
60,-8.218096537523387e-13
61,111.30358520609082
62,221.37853472372265
63,330.1253196597554
64,437.44635169880405
65,543.2460913678088
66,647.4311537094371
67,749.9104112388322
68,850.5950940615791
69,949.3988870342015
70,1046.238023852219
71,1141.0313779544374
72,1233.7005501361693
73,1324.1699527680387
74,1412.3668905212057
75,1498.221637504125
76,1581.6675107203387
77,1662.6409397613174
78,1741.0815326529287
79,1816.9321377788929
80,1890.1389018092773
81,1960.651323567059
82,2028.422303770683
83,2093.4081905956136
84,2155.568821002956
85,2214.8675577884273
86,2271.2713223101414
87,2324.7506228589646
88,2375.2795786405195
89,2422.8359393432465
90,2467.4011002723387
91,2508.9601130347532
92,2547.5016917659227
93,2583.018214894254
94,2615.5057224448883
95,2644.963908889677
96,2671.3961115557254
97,2694.80929461027
98,2715.2140286450417
99,2732.6244658886208
100,2747.0583110806188
101,2758.536788046786
102,2767.0846020193726
103,2772.7298977522673
104,2775.5042134855194
105,2775.442430818917
106,2772.58272055925
107,2766.966484610799
108,2758.638293983363
109,2747.6458229968844
110,2734.039779766336
111,2717.873833055034
112,2699.2045355889663
113,2678.091243929007
114,2654.596035002052
115,2628.7836193961793
116,2600.7212515288375
117,2570.4786368008495
118,2538.1278358526865
119,2503.743166042945
120,2467.4011002723396
121,2429.180163279697
122,2389.1608255395354
123,2347.4253948936494
124,2304.057906051899
125,2259.1440080999173
126,2212.770850153899
127,2165.0269653048085
128,2116.002152996411
129,2065.78735998341
130,2014.4745600176645
131,1962.1566324119583
132,1908.9272396321287
133,1854.8807040695135
134,1800.111884146623
135,1744.71604990972
136,1688.7887582625706
137,1632.4257279960161
138,1575.722714768234
139,1518.775386190564
140,1461.6791971736077
141,1404.5292656879146
142,1347.4202490930713
143,1290.4462211882287
144,1233.7005501361698
145,1177.275777411937
146,1121.263497925725
147,1065.7542414682591
148,1010.8373556252112
149,956.6008903053821
150,903.131484025351
151,850.5142520910985
152,798.832676814726
153,748.1684999019091
154,698.6016171429711
155,650.209975537625
156,603.0694729804076
157,557.2538606306608
158,512.8346480875676
159,469.8810114872972
160,428.459704635671
161,388.63497328602904
162,350.4684726680738
163,314.01918836944606
164,279.3433606676357
165,246.49441240559517
166,215.52288050001232
167,186.47635116672706
168,159.3993989431896
169,134.3335295831639
170,111.31712689410368
171,90.38540358276384
172,71.5703561696526
173,54.90072402793173
174,40.401952597269094
175,28.096160817991862
176,18.00211282570644
177,10.135193941279956
178,4.507390985778322
179,1.1272769446423092
180,-0.0
181,1.1272769446423092
182,4.507390985778322
183,10.135193941279683
184,18.002112825706167
185,28.096160817991315
186,40.40195259726882
187,54.900724027932
188,71.57035616965233
189,90.38540358276384
190,111.31712689410395
191,134.33352958316362
192,159.3993989431893
193,186.47635116672734
194,215.52288050001178
195,246.4944124055941
196,279.34336066763433
197,314.0191883694447
198,350.46847266807436
199,388.6349732860285
200,428.45970463567045
201,469.88101148729777
202,512.8346480875671
203,557.2538606306589
204,603.0694729804056
205,650.2099755376245
206,698.6016171429706
207,748.1684999019072
208,798.8326768147252
209,850.5142520910977
210,903.1314840253517
211,956.6008903053813
212,1010.8373556252104
213,1065.7542414682598
214,1121.263497925724
215,1177.2757774119348
216,1233.7005501361689
217,1290.4462211882283
218,1347.4202490930688
219,1404.5292656879135
220,1461.679197173607
221,1518.7753861905646
222,1575.722714768233
223,1632.425727996015
224,1688.7887582625708
225,1744.716049909719
226,1800.1118841466205
227,1854.8807040695112
228,1908.9272396321282
229,1962.1566324119572
230,2014.4745600176636
231,2065.7873599834106
232,2116.0021529964115
233,2165.0269653048094
234,2212.7708501538987
235,2259.144008099916
236,2304.0579060518976
237,2347.4253948936503
238,2389.160825539535
239,2429.180163279696
240,2467.401100272338
241,2503.7431660429456
242,2538.1278358526865
243,2570.4786368008495
244,2600.7212515288375
245,2628.7836193961784
246,2654.596035002052
247,2678.0912439290064
248,2699.2045355889663
249,2717.8738330550336
250,2734.0397797663354
251,2747.6458229968844
252,2758.638293983363
253,2766.966484610799
254,2772.58272055925
255,2775.442430818917
256,2775.5042134855194
257,2772.7298977522673
258,2767.084602019373
259,2758.536788046786
260,2747.0583110806188
261,2732.62446588862
262,2715.214028645041
263,2694.80929461027
264,2671.3961115557254
265,2644.963908889677
266,2615.5057224448888
267,2583.018214894256
268,2547.5016917659245
269,2508.9601130347532
270,2467.4011002723396
271,2422.8359393432474
272,2375.2795786405186
273,2324.7506228589646
274,2271.271322310142
275,2214.8675577884283
276,2155.5688210029575
277,2093.408190595613
278,2028.422303770684
279,1960.6513235670598
280,1890.1389018092793
281,1816.9321377788958
282,1741.0815326529325
283,1662.6409397613174
284,1581.6675107203412
285,1498.221637504123
286,1412.3668905212046
287,1324.1699527680394
288,1233.7005501361707
289,1141.03137795444
290,1046.2380238522228
291,949.3988870342063
292,850.5950940615791
293,749.910411238835
294,647.4311537094346
295,543.2460913678077
296,437.44635169880416
297,330.125319659757
298,221.37853472372566
299,111.30358520609533
300,-6.848413781269488e-13
301,-112.43086215073312
302,-225.8859257094996
303,-340.2605136010323
304,-455.4484645245058
305,-571.3422521858
306,-687.8331063067046
307,-804.8111352667624
308,-922.1654502312327
309,-1039.7842906169665
310,-1157.5551507463226
311,-1275.3649075375993
312,-1393.0999490793556
313,-1510.6463039347614
314,-1627.889771021212
315,-1744.716049909718
316,-1861.0108713879715
317,-1976.6601281307644
318,-2091.5500053210035
319,-2205.567111064921
320,-2318.598606444946
321,-2430.5323350543536
322,-2541.2569518582463
323,-2650.662051226273
324,-2758.6382939833616
325,-2865.07753332605
326,-2969.8729394531097
327,-3072.9191227608744
328,-3174.112255455239
329,-3273.350191434343
330,-3370.532584297687
331,-3465.5610033401354
332,-3558.3390473911345
333,-3648.7724563625134
334,-3736.7692203706156
335,-3822.2396863016097
336,-3905.096661691896
337,-3985.255515798495
338,-4062.634277738111
339,-4137.153731576531
340,-4208.737508254227
341,-4277.312174237347
342,-4342.807316787605
343,-4405.155625748285
344,-4464.292971748088
345,-4520.158480728636
346,-4572.694604705872
347,-4621.847188680311
348,-4667.5655336154905
349,-4709.802455408843
350,-4748.514339783998
351,-4783.661193038442
352,-4815.206688585377
353,-4843.118209233815
354,-4867.3668851559505
355,-4887.927627496096
356,-4904.779157580737
357,-4917.904031694499
358,-4927.288661392221
359,-4932.923329322642
360,-4934.802200544678
